modulus,n,input,output,proof,prime,t,gamma,k,bound,t_squaring,t_proof,t_total,t_verify,t_verify_prime
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,2185802751420447593385435581404269433335835618087022760233706654480511119753414615812905857802282093033862205226118730646711137153322601959742788705538689915025902602923651649508094441375651487488948816312296896024603650275225665644118299817555540072582776320491436948280014311124767474623282568053454669519,585655546604850910181818611510339294437937277477267515924133269158351511619832361830582488368716666221558287598975081153729820791971173864080958100733040427713990831915986620540545435837972412067783481206246506230026299547164650497112071795882112606263629463390906181922006042335376976491269967414413062209,22604207901702148438357974197857495686091710246609612843741896335721177290039,32768,181,3,61,0.0177550,0.0119530,0.0297430,0.0007340,0.0007310
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,2032944360406289672864187915349870670279768866709759740193977417946460854573091085291469703067190050095245123150107600018422386633476509692676804116846760276383141038611750329573068508121756511974081468991518338035911324644512867955899171198570571232274079665820631065425150414041659409047149295985613102905,1594955947854801940507711136617241239869398709369697422251571893987439285471990518261185246102418690044825393954368549079123988570367957605883123648949185227620098715957113464861165217376226043125525700610865728800098961076749399657914364947112215572656373835355162698420847248064481661688996984621415049909,36658354172865816852853368494358160701218150308212446696959605345603730699663,65536,256,4,64,0.0355860,0.0217210,0.0573440,0.0006110,0.0006070
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,1282431268848882467240387156894232699169344557482475409531226301809911649743891912871510795864652598606114539725978146874448439406345105959489356424151165313836496067169899987267188549571807992914912085602200960517009949348442629795053068022231952978250207307682638447965113098238516863446600549364403233257,1748113961693528552748144505228080590506242769796511051734251943628054178843088119483152021673476572078344030514262579600129081970806925695627377458632471405025650836793963551960080059176520312332705952035603732168800482385468919604789954118737358207451253066466052568817161156287097796789873233442896356413,52985497772472275987001315598810153204109624751064043601018750816146839891603,131072,362,4,91,0.0710770,0.0429850,0.1141030,0.0004050,0.0003980
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,2561244198791051333485933557529965973754912523549113649724023181957443609396900747065092495806521653484308136090201564325376884614677108628853370391820892730120281499460929239513795230951383408166403697092200205641817482187031937923318196886002731795484395132106493443283759746481512918071468139944663265961,489334967723343787903410404847512361870643528099066073297274908664826230082945131826429367987816557266962558712850873808008965269102491796542046001866285417856525278536090374805044678840435630110653216711567899677981781269134702526978180911717158013342222905784979981731730925053230933194823645758923748648,15452272061721963064913024710692412808833692270186483180383308388227652851897,262144,512,4,128,0.1421880,0.0919970,0.2342400,0.0004710,0.0004600
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,92603903524272251593005069504474905589363137306754620509176691851225275945727925148099264233797103997090244953576620184167872014148852665439672059791993845342751371271446044095678013511872384673963711537383122950708153046766060746126949959015543573771791568937146820566726608804379397487090688801102697955,494244449253715524724965632012002158410325244072353712023950050678378871173239626261497875994472629509032719052307109692436900609986749418621802463200245473368726400175306589822381059317238298695594487211918197065630647556790362207491688860295397536518489544430552639585960176459468767215803223726567407884,43617101501668597871371193949075796506949592705511571063116600161755321927009,524288,724,5,145,0.2845810,0.1953000,0.4799390,0.0017990,0.0017890
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,835459067634054750911691954649097926972141983485015632960510460399922756055977428832601666730730580677287757237609848219188195620773322274459259100926135846708532123357180062187642428019255046699456721127982446086905555580027381000317790501675422595855393490495821563663198028273799858700684362614571850659,1642762511653942880013307320251565439689727642816689606078877271797488074065073506843663699736872403163186125566658988533743984023109937277148437338310912224265532313492067731951749089457454865309584441501152461759596367569306668703621137868749642243679903353885492446059426941178384017641707504764039889999,79668871602122051264670787968931323922235224746427722489335366006540134093847,1048576,1024,5,205,0.5678710,0.4297130,0.9976510,0.0007230,0.0007130
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,1542848821333509901004987216627533805078449622392831218674328092727613104316791935434174017586739080614638892066652005562660820820163868783140724502564935572746487190499995928073545035239713453125691215440552454509044035362911819075469728002511525319723260162571403417768336664829348492210213399455201035641,1768820860550626474683617769821295622571726560795154524562454937351335587157193421594752709393655810455938439623712446094941798114642401824333546980494045739761911032932229719247050872603625934093658763629095175663886161951298454630765379669982225031936490401372586806177496727872637281648454810297616712757,112950975105322566546350124014434564463531527006733573566161730754289927272287,2097152,1448,5,290,1.1356600,1.0251740,2.1609050,0.0007020,0.0006890
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,1509105036613770575738290164284879838474226401776948169038160634641021713102922687376959000104681992209755707683205463013243558530138095856171533545948910193127777423735473003312064770023667142426833339045854538227122334229041214089770132012771099485401003078534046120156439764799864467137855270571660027668,404961494771084248955562492496585377762207473964330777419801856581791363095869186490993485673006449341343253681606316665455331117399982460373282168253251382210770185503050811961499186865784935833379191315824538111162844188924719733230320306200860623758731342395485292671606374428318537812356185051716791598,105913337407588790513883309890664867222538856353618334730993901446110842387687,4194304,2048,6,342,2.2722630,2.5066110,4.7789560,0.0009000,0.0008850
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,500103231414176784521645752309561911957729402475477223397940031146850910490112006254879192688596322166384230655854170899651432507376439033458867957684133812121712281322540477598306520199575189548189712171676136694957872539630664666451099455179809290872122617777578622681102836072271049246774617305188995012,1140003531336504618032363854018296154957544901904015568798822576657204714257169718191629560004878973184038643491938117373843121732094869970376982183126527861766952755035099662761157452949645556424017525837074655731316969703933391748610433487801186471038546592886816537670588279286495902852570868088794849622,61119136843341553214665314571882124133417868320741766237716019520180677296827,8388608,2896,6,483,4.5415710,6.4417140,10.9833770,0.0008380,0.0008260
1024,2561608477586139672012991009718996023937578817574940985956689649784912605835029678471243852215469506977123320166621158399691140720884358314999228529680666657223967511173822254448148687995587348290718877252722523861780577802024638371046587176283850525170663797167564435384066478429620101647734119333967582481,14091996,1542592450754448525145479115477399213831758031250285521676036534737410972779525193639170794394007275625653166172028996880283955357171363043884594574290295741154178387549996164263060233561696269286248745321201652951517393047843085233832802171028500110918687232212601785594471520985104723555588945960264973796,2224951343822734837504280594514720200251710378145518129137662556024367750378922926821472375816303129315191339058932697609883699269078478098878990049710588409549179773087188774096291941428987923747575029585544046658271639542720592739163334744723960923116175488531893487778762638014627083537886819729856322997,21577072834003894212886570520209872706809163622097267328457861501509919984689,16777216,4096,6,683,9.0857080,17.4903540,26.5761780,0.0006480,0.0006370
